iter	Passed	Remaining
655	7754	4066
656	7767	4055
657	7778	4042
658	7792	4032
659	7811	4023
660	7825	4013
661	7838	4001
662	7879	4005
663	7893	3994
664	7903	3981
665	7915	3969
666	7929	3958
667	7943	3947
668	7962	3939
669	7987	3933
670	8004	3924
671	8024	3916
672	8041	3907
673	8058	3897
674	8071	3886
675	8084	3874
676	8104	3866
677	8119	3856
678	8137	3846
679	8153	3836
680	8171	3827
681	8185	3816
682	8200	3806
683	8219	3797
684	8240	3789
685	8254	3778
686	8273	3769
687	8298	3763
688	8319	3755
689	8333	3744
690	8349	3733
691	8380	3730
692	8408	3724
693	8431	3717
694	8454	3710
695	8467	3698
696	8503	3696
697	8525	3688
698	8562	3686
699	8582	3678
700	8605	3670
701	8648	3671
702	8669	3662
703	8688	3653
704	8704	3642
705	8716	3629
706	8727	3616
707	8738	3603
708	8750	3591
709	8770	3582
710	8791	3573
711	8810	3563
712	8831	3555
713	8852	3545
714	8867	3534
715	8882	3523
716	8897	3511
717	8921	3504
718	8936	3492
719	8959	3484
720	8978	3474
721	8999	3465
722	9020	3455
723	9056	3452
724	9102	3452
725	9126	3444
726	9146	3434
727	9159	3422
728	9176	3411
729	9200	3402
730	9225	3395
731	9271	3394
732	9292	3384
733	9303	3371
734	9314	3358
735	9330	3346
736	9345	3334
737	9364	3324
738	9377	3311
739	9401	3303
740	9432	3296
741	9454	3287
742	9469	3275
743	9486	3264
744	9506	3254
745	9526	3243
746	9547	3233
747	9574	3225
748	9597	3216
749	9648	3216
750	9682	3210
751	9705	3200
752	9726	3190
753	9746	3179
754	9768	3169
755	9791	3160
756	9835	3157
757	9852	3145
758	9874	3135
759	9902	3127
760	9921	3116
761	9939	3104
762	9963	3094
763	9994	3087
764	10027	3080
765	10057	3072
766	10087	3064
767	10116	3056
768	10153	3049
769	10178	3040
770	10204	3031
771	10222	3019
772	10243	3008
773	10265	2997
774	10297	2989
775	10329	2981
776	10344	2968
777	10364	2957
778	10381	2945
779	10399	2933
780	10412	2919
781	10424	2906
782	10437	2892
783	10452	2879
784	10463	2865
785	10476	2852
786	10493	2839
787	10509	2827
788	10521	2813
789	10533	2800
790	10548	2787
791	10564	2774
792	10578	2761
793	10590	2747
794	10600	2733
795	10615	2720
796	10632	2708
797	10649	2695
798	10663	2682
799	10675	2668
800	10685	2654
801	10699	2641
802	10714	2628
803	10727	2615
804	10740	2601
805	10751	2587
806	10765	2574
807	10778	2561
808	10797	2549
809	10808	2535
810	10818	2521
811	10829	2507
812	10842	2493
813	10857	2480
814	10871	2467
815	10888	2455
816	10910	2443
817	10932	2432
818	10958	2421
819	10972	2408
820	10994	2397
821	11013	2384
822	11040	2374
823	11068	2364
824	11094	2353
825	11112	2340
826	11130	2328
827	11145	2315
828	11163	2302
829	11185	2291
830	11199	2277
831	11213	2264
832	11229	2251
833	11249	2239
834	11265	2226
835	11281	2213
836	11296	2199
837	11311	2186
838	11327	2173
839	11347	2161
840	11363	2148
841	11379	2135
842	11400	2123
843	11414	2109
844	11428	2096
845	11442	2082
846	11455	2069
847	11467	2055
848	11480	2041
849	11494	2028
850	11508	2014
851	11522	2001
852	11537	1988
853	11551	1974
854	11565	1961
855	11578	1947
856	11592	1934
857	11606	1920
858	11619	1907
859	11633	1893
860	11647	1880
861	11664	1867
862	11679	1854
863	11692	1840
864	11707	1827
865	11721	1813
866	11735	1800
867	11749	1786
868	11765	1773
869	11778	1759
870	11791	1746
871	11805	1732
872	11819	1719
873	11831	1705
874	11845	1692
875	11860	1678
876	11875	1665
877	11888	1651
878	11917	1640
879	11928	1626
880	11939	1612
881	11950	1598
882	11960	1584
883	11970	1570
884	11982	1557
885	11992	1543
886	12002	1529
887	12013	1515
888	12023	1501
889	12035	1487
890	12046	1473
891	12056	1459
892	12068	1446
893	12078	1432
894	12089	1418
895	12099	1404
896	12110	1390
897	12120	1376
898	12130	1362
899	12141	1349
900	12151	1335
901	12162	1321
902	12172	1307
903	12183	1293
904	12193	1280
905	12204	1266
906	12214	1252
907	12225	1238
908	12236	1224
909	12246	1211
910	12257	1197
911	12267	1183
912	12278	1169
913	12289	1156
914	12299	1142
915	12309	1128
916	12320	1115
917	12336	1101
918	12347	1088
919	12357	1074
920	12368	1060
921	12378	1047
922	12389	1033
923	12399	1019
924	12409	1006
925	12419	992
926	12430	978
927	12440	965
928	12450	951
929	12461	937
930	12471	924
931	12483	910
932	12493	897
933	12504	883
934	12514	870
935	12525	856
936	12536	842
937	12547	829
938	12557	815
939	12567	802
940	12578	788
941	12589	775
942	12599	761
943	12609	748
944	12620	734
945	12631	721
946	12641	707
947	12658	694
948	12683	681
949	12698	668
950	12710	654
951	12722	641
952	12735	628
953	12746	614
954	12759	601
955	12770	587
956	12780	574
957	12795	560
958	12811	547
959	12824	534
960	12835	520
961	12846	507
962	12858	494
963	12869	480
964	12879	467
965	12890	453
966	12902	440
967	12912	426
968	12924	413
969	12934	400
970	12944	386
971	12955	373
972	12965	359
973	12976	346
974	12991	333
975	13004	319
976	13016	306
977	13027	293
978	13037	279
979	13047	266
980	13058	252
981	13068	239
982	13078	226
983	13090	212
984	13100	199
985	13111	186
986	13121	172
987	13131	159
988	13142	146
989	13152	132
990	13162	119
991	13172	106
992	13182	92
993	13193	79
994	13203	66
995	13214	53
996	13224	39
997	13235	26
998	13246	13
999	13256	0
