iter	MultiClass
0	1.196650202
1	1.054867441
2	0.9536732751
3	0.8752545822
4	0.8074096803
5	0.751827644
6	0.7072173407
7	0.6702357843
8	0.6400587466
9	0.612627414
10	0.5895402107
11	0.569118906
12	0.5514737968
13	0.5343122822
14	0.5210789695
15	0.5082847838
16	0.4970466525
17	0.4868208695
18	0.4784800575
19	0.4708289576
20	0.4635109302
21	0.4568206614
22	0.451534823
23	0.4463024705
24	0.440417349
25	0.4354567183
26	0.4316258262
27	0.4276899976
28	0.4237637739
29	0.4208246084
30	0.41747696
31	0.4149337254
32	0.4118676845
33	0.409485846
34	0.40687544
35	0.4052646687
36	0.4035081285
37	0.4015855543
38	0.4001898308
39	0.3984415498
40	0.3968568934
41	0.3942190281
42	0.3932538601
43	0.3911467513
44	0.389242656
45	0.3876810486
46	0.3858072789
47	0.3847574318
48	0.3831434747
49	0.3819899014
50	0.3800488441
51	0.3781317849
52	0.3772028487
53	0.3762003723
54	0.3747923811
55	0.3739014167
56	0.3731211449
57	0.3723826276
58	0.3714532701
59	0.370714605
60	0.3694927506
61	0.3686053926
62	0.3670716194
63	0.3657364101
64	0.3651471251
65	0.3645123482
66	0.3638492888
67	0.3626747516
68	0.3617823457
69	0.3614078467
70	0.3610644749
71	0.3607767985
72	0.3591479254
73	0.3584123289
74	0.357387396
75	0.3567600177
76	0.3557307643
77	0.3548983776
78	0.3541295543
79	0.3527281042
80	0.3516925001
81	0.3510754112
82	0.3493911384
83	0.3483807062
84	0.3480544868
85	0.3470240351
86	0.3466300593
87	0.345135672
88	0.344097506
89	0.3435436864
90	0.3431203978
91	0.3424468883
92	0.3415199932
93	0.3413949798
94	0.3409698654
95	0.340538842
96	0.3394704153
97	0.3388747271
98	0.3380024963
99	0.3376776219
100	0.3369547475
101	0.3364574866
102	0.3354953269
103	0.3350772734
104	0.3345281032
105	0.3339685556
106	0.3330200482
107	0.3321734854
108	0.3317854743
109	0.3313100746
110	0.3304375683
111	0.329952184
112	0.3295290482
113	0.3288080468
114	0.327861049
115	0.3275465579
116	0.3272163745
117	0.326645066
118	0.3260229872
119	0.3253664452
120	0.3248390432
121	0.3244354672
122	0.3237302458
123	0.3233706852
124	0.3225206258
125	0.3221347568
126	0.320983337
127	0.3201996802
128	0.3196919346
129	0.3192400552
130	0.319027523
131	0.3185282566
132	0.3178414119
133	0.3176831879
134	0.3173127837
135	0.3162003783
136	0.3151796552
137	0.314785567
138	0.3144212039
139	0.3136443892
140	0.3128528836
141	0.312433824
142	0.311841012
143	0.3111937593
144	0.3110335416
145	0.3106485307
146	0.3103001469
147	0.310016477
148	0.3098415197
149	0.309316067
150	0.309076019
151	0.3087228126
152	0.3081418768
153	0.3076520012
154	0.3067947942
155	0.3063781702
156	0.3060308066
157	0.3055871032
158	0.3050149065
159	0.3047387512
160	0.3044114218
161	0.3031207126
162	0.3023077493
163	0.3020731736
164	0.3016236863
165	0.301397173
166	0.3009765974
167	0.3007624941
168	0.3003049648
169	0.2999124642
170	0.2993572889
171	0.2989279335
172	0.2984561737
173	0.2981560039
174	0.2979310931
175	0.2973918288
176	0.2970551577
177	0.2968281087
178	0.2962029624
179	0.295659326
180	0.2952177096
181	0.294828472
182	0.2943926285
183	0.2941458989
184	0.2938558652
185	0.2935252946
186	0.2929447056
187	0.2922384348
188	0.2916613139
189	0.291170946
190	0.290793173
191	0.2905326069
192	0.290361444
193	0.2902136037
194	0.2900414526
195	0.2895174634
196	0.2891932704
197	0.2888405492
198	0.2884707945
199	0.2881369835
200	0.2879063721
201	0.2874728925
202	0.2864970907
203	0.28610046
204	0.2858873973
205	0.2856199712
206	0.2853341611
207	0.2851130423
208	0.2846976268
209	0.2842485497
210	0.2840154086
211	0.2834780545
212	0.2830919974
213	0.2828348144
214	0.2827019233
215	0.2824141342
216	0.2821649849
217	0.2816430493
218	0.2813273926
219	0.281094025
220	0.2805106004
221	0.2801976289
222	0.2799024827
223	0.2796575133
224	0.2793904733
225	0.279153618
226	0.2785075476
227	0.2781856064
228	0.2779257379
229	0.2775911148
230	0.2771404127
231	0.2769944191
